img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10022844623.jpg,koniq,r1b,4,4.0,,3,,,
10029841663.jpg,koniq,r1b,4,4.0,,3,,,
10031298826.jpg,koniq,r1b,4,4.0,,3,,,
10059344614.jpg,koniq,r1b,4,4.0,,3,,,
10067457634.jpg,koniq,r1b,4,4.0,,3,,,
10068778516.jpg,koniq,r1b,4,4.0,,3,,,
10079711433.jpg,koniq,r1b,4,4.0,,3,,,
10133867305.jpg,koniq,r1b,4,4.0,,3,,,
10178183416.jpg,koniq,r1b,4,4.0,,3,,,
10187522803.jpg,koniq,r1b,4,4.0,,3,,,
10206674394.jpg,koniq,r1b,4,4.0,,3,,,
10211880874.jpg,koniq,r1b,3,3.0,,3,,,
10241895785.jpg,koniq,r1b,4,4.0,,3,,,
10265315316.jpg,koniq,r1b,4,4.0,,3,,,
10279904885.jpg,koniq,r1b,4,4.0,,3,,,
10283619534.jpg,koniq,r1b,4,4.0,,3,,,
10296038236.jpg,koniq,r1b,3,3.0,,3,,,
102995966.jpg,koniq,r1b,3,3.0,,3,,,
10330831494.jpg,koniq,r1b,2,2.0,,3,,,
10336689775.jpg,koniq,r1b,3,3.0,,3,,,
10346758803.jpg,koniq,r1b,4,4.0,,3,,,
10353620913.jpg,koniq,r1b,4,4.0,,3,,,
10375167904.jpg,koniq,r1b,3,3.0,,3,,,
10382843045.jpg,koniq,r1b,3,3.0,,3,,,
10397166423.jpg,koniq,r1b,4,4.0,,3,,,
10408474376.jpg,koniq,r1b,4,4.0,,3,,,
10422425365.jpg,koniq,r1b,4,4.0,,3,,,
10422776735.jpg,koniq,r1b,3,3.0,,3,,,
10430335945.jpg,koniq,r1b,3,3.0,,3,,,
10468540574.jpg,koniq,r1b,4,4.0,,3,,,
10471406506.jpg,koniq,r1b,3,3.0,,3,,,
10474002734.jpg,koniq,r1b,3,3.0,,3,,,
10475658035.jpg,koniq,r1b,5,5.0,,3,,,
10491358066.jpg,koniq,r1b,4,4.0,,3,,,
10520192995.jpg,koniq,r1b,3,3.0,,3,,,
10534454676.jpg,koniq,r1b,4,4.0,,3,,,
10539341593.jpg,koniq,r1b,3,3.0,,3,,,
10544945153.jpg,koniq,r1b,3,3.0,,3,,,
10574233584.jpg,koniq,r1b,3,3.0,,3,,,
10576676414.jpg,koniq,r1b,3,3.0,,3,,,
10581525775.jpg,koniq,r1b,3,3.0,,3,,,
10597114264.jpg,koniq,r1b,4,4.0,,3,,,
10609356094.jpg,koniq,r1b,3,3.0,,3,,,
10619909515.jpg,koniq,r1b,4,4.0,,3,,,
10620356404.jpg,koniq,r1b,4,4.0,,3,,,
106456452.jpg,koniq,r1b,2,2.0,,3,,,
10680715605.jpg,koniq,r1b,3,3.0,,3,,,
10680932454.jpg,koniq,r1b,4,4.0,,3,,,
10686332213.jpg,koniq,r1b,3,3.0,,3,,,
10694350076.jpg,koniq,r1b,4,4.0,,3,,,
10705911926.jpg,koniq,r1b,3,3.0,,3,,,
10706770686.jpg,koniq,r1b,4,4.0,,3,,,
10713772814.jpg,koniq,r1b,3,3.0,,3,,,
10740727595.jpg,koniq,r1b,3,3.0,,3,,,
10745415703.jpg,koniq,r1b,4,4.0,,3,,,
10745932825.jpg,koniq,r1b,4,4.0,,3,,,
10747724694.jpg,koniq,r1b,3,3.0,,3,,,
10762659033.jpg,koniq,r1b,3,3.0,,3,,,
10765812585.jpg,koniq,r1b,4,4.0,,3,,,
10775358296.jpg,koniq,r1b,2,2.0,,3,,,
10783395635.jpg,koniq,r1b,4,4.0,,3,,,
10784159775.jpg,koniq,r1b,4,4.0,,3,,,
10786271105.jpg,koniq,r1b,3,3.0,,3,,,
10798439785.jpg,koniq,r1b,4,4.0,,3,,,
10799367156.jpg,koniq,r1b,4,4.0,,3,,,
10799853136.jpg,koniq,r1b,3,3.0,,3,,,
10806677866.jpg,koniq,r1b,4,4.0,,3,,,
10819001424.jpg,koniq,r1b,2,2.0,,3,,,
10849117054.jpg,koniq,r1b,4,4.0,,3,,,
1084984228.jpg,koniq,r1b,3,3.0,,3,,,
10856434794.jpg,koniq,r1b,3,3.0,,3,,,
10872249945.jpg,koniq,r1b,5,5.0,,3,,,
10880314705.jpg,koniq,r1b,4,4.0,,3,,,
1089100444.jpg,koniq,r1b,4,4.0,,3,,,
10923819485.jpg,koniq,r1b,3,3.0,,3,,,
10927420963.jpg,koniq,r1b,4,4.0,,3,,,
10961758274.jpg,koniq,r1b,4,4.0,,3,,,
10981006796.jpg,koniq,r1b,2,2.0,,3,,,
11005410885.jpg,koniq,r1b,3,3.0,,3,,,
1100873520.jpg,koniq,r1b,3,3.0,,3,,,
11016485883.jpg,koniq,r1b,4,4.0,,3,,,
11031973684.jpg,koniq,r1b,3,3.0,,3,,,
11054955216.jpg,koniq,r1b,4,4.0,,3,,,
11078122366.jpg,koniq,r1b,3,3.0,,3,,,
11098121724.jpg,koniq,r1b,3,3.0,,3,,,
11111585533.jpg,koniq,r1b,4,4.0,,3,,,
11118140253.jpg,koniq,r1b,4,4.0,,3,,,
11143825565.jpg,koniq,r1b,4,4.0,,3,,,
11158314215.jpg,koniq,r1b,3,3.0,,3,,,
11159983896.jpg,koniq,r1b,4,4.0,,3,,,
11169904264.jpg,koniq,r1b,4,4.0,,3,,,
11209059333.jpg,koniq,r1b,3,3.0,,3,,,
11216436636.jpg,koniq,r1b,4,4.0,,3,,,
