img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10001.jpg,spaq,r1b,3,6.0,,3,,,
10002.jpg,spaq,r1b,3,6.0,,3,,,
10003.jpg,spaq,r1b,3,4.0,,3,,,
10004.jpg,spaq,r1b,2,3.0,,3,,,
10005.jpg,spaq,r1b,2,2.0,,3,,,
10006.jpg,spaq,r1b,3,5.0,,3,,,
10007.jpg,spaq,r1b,4,8.0,,3,,,
10008.jpg,spaq,r1b,3,6.0,,3,,,
10009.jpg,spaq,r1b,3,6.0,,3,,,
10010.jpg,spaq,r1b,2,3.0,,3,,,
10011.jpg,spaq,r1b,4,8.0,,3,,,
10012.jpg,spaq,r1b,3,6.0,,3,,,
10013.jpg,spaq,r1b,4,7.0,,3,,,
10014.jpg,spaq,r1b,4,7.0,,3,,,
10015.jpg,spaq,r1b,3,6.0,,3,,,
10016.jpg,spaq,r1b,3,6.0,,3,,,
10017.jpg,spaq,r1b,3,4.0,,3,,,
10018.jpg,spaq,r1b,4,7.0,,3,,,
10019.jpg,spaq,r1b,2,3.0,,3,,,
10020.jpg,spaq,r1b,4,8.0,,3,,,
10021.jpg,spaq,r1b,2,3.0,,3,,,
10022.jpg,spaq,r1b,3,6.0,,3,,,
10023.jpg,spaq,r1b,3,4.0,,3,,,
10024.jpg,spaq,r1b,2,2.0,,3,,,
10025.jpg,spaq,r1b,2,3.0,,3,,,
10026.jpg,spaq,r1b,2,2.0,,3,,,
10027.jpg,spaq,r1b,2,3.0,,3,,,
10028.jpg,spaq,r1b,3,6.0,,3,,,
10029.jpg,spaq,r1b,3,6.0,,3,,,
10030.jpg,spaq,r1b,2,2.0,,3,,,
10031.jpg,spaq,r1b,3,5.0,,3,,,
10032.jpg,spaq,r1b,2,2.0,,3,,,
10033.jpg,spaq,r1b,2,2.0,,3,,,
10034.jpg,spaq,r1b,5,9.0,,3,,,
10035.jpg,spaq,r1b,4,7.0,,3,,,
10036.jpg,spaq,r1b,4,7.0,,3,,,
10037.jpg,spaq,r1b,2,3.0,,3,,,
10038.jpg,spaq,r1b,2,3.0,,3,,,
10039.jpg,spaq,r1b,2,3.0,,3,,,
10040.jpg,spaq,r1b,2,3.0,,3,,,
10041.jpg,spaq,r1b,3,5.0,,3,,,
10042.jpg,spaq,r1b,4,7.0,,3,,,
10043.jpg,spaq,r1b,2,2.0,,3,,,
10044.jpg,spaq,r1b,2,3.0,,3,,,
10045.jpg,spaq,r1b,3,4.0,,3,,,
10046.jpg,spaq,r1b,2,3.0,,3,,,
10047.jpg,spaq,r1b,3,5.0,,3,,,
10048.jpg,spaq,r1b,2,3.0,,3,,,
10049.jpg,spaq,r1b,2,3.0,,3,,,
10050.jpg,spaq,r1b,2,2.0,,3,,,
10051.jpg,spaq,r1b,4,7.0,,3,,,
10052.jpg,spaq,r1b,4,7.0,,3,,,
10053.jpg,spaq,r1b,3,6.0,,3,,,
10054.jpg,spaq,r1b,3,5.0,,3,,,
10055.jpg,spaq,r1b,2,3.0,,3,,,
10056.jpg,spaq,r1b,3,5.0,,3,,,
10057.jpg,spaq,r1b,3,5.0,,3,,,
10058.jpg,spaq,r1b,2,2.0,,3,,,
10059.jpg,spaq,r1b,2,2.0,,3,,,
10060.jpg,spaq,r1b,2,3.0,,3,,,
10061.jpg,spaq,r1b,2,3.0,,3,,,
10062.jpg,spaq,r1b,2,3.0,,3,,,
10063.jpg,spaq,r1b,2,3.0,,3,,,
10064.jpg,spaq,r1b,4,7.0,,3,,,
10065.jpg,spaq,r1b,4,7.0,,3,,,
10066.jpg,spaq,r1b,3,5.0,,3,,,
10067.jpg,spaq,r1b,3,6.0,,3,,,
10068.jpg,spaq,r1b,3,5.0,,3,,,
10069.jpg,spaq,r1b,2,2.0,,3,,,
10070.jpg,spaq,r1b,4,7.0,,3,,,
10071.jpg,spaq,r1b,2,2.0,,3,,,
10072.jpg,spaq,r1b,3,5.0,,3,,,
10073.jpg,spaq,r1b,2,3.0,,3,,,
10074.jpg,spaq,r1b,2,2.0,,3,,,
10075.jpg,spaq,r1b,2,2.0,,3,,,
10076.jpg,spaq,r1b,3,4.0,,3,,,
10077.jpg,spaq,r1b,3,4.0,,3,,,
10078.jpg,spaq,r1b,2,3.0,,3,,,
10079.jpg,spaq,r1b,3,6.0,,3,,,
10080.jpg,spaq,r1b,4,7.0,,3,,,
10081.jpg,spaq,r1b,3,6.0,,3,,,
10082.jpg,spaq,r1b,2,3.0,,3,,,
10083.jpg,spaq,r1b,2,2.0,,3,,,
10084.jpg,spaq,r1b,2,3.0,,3,,,
10085.jpg,spaq,r1b,3,6.0,,3,,,
10086.jpg,spaq,r1b,2,3.0,,3,,,
10087.jpg,spaq,r1b,2,3.0,,3,,,
10088.jpg,spaq,r1b,2,2.0,,3,,,
10089.jpg,spaq,r1b,3,4.0,,3,,,
10090.jpg,spaq,r1b,4,7.0,,3,,,
10091.jpg,spaq,r1b,3,6.0,,3,,,
10092.jpg,spaq,r1b,4,7.0,,3,,,
10093.jpg,spaq,r1b,2,2.0,,3,,,
