img_id,dataset,route,level,score,reason,parse_tier
10001.jpg,spaq,r5,,5.6117,R5=软门控+patch+para3 | bare 0.36/rich 0.29/multi 0.34,1
10002.jpg,spaq,r5,,5.747,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10003.jpg,spaq,r5,,4.108,R5=软门控+patch+para3 | bare 0.37/rich 0.30/multi 0.33,1
10004.jpg,spaq,r5,,2.6441,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10005.jpg,spaq,r5,,1.7214,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10006.jpg,spaq,r5,,4.4804,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.33,1
10007.jpg,spaq,r5,,8.0215,R5=软门控+patch+para3 | bare 0.39/rich 0.27/multi 0.33,1
10008.jpg,spaq,r5,,5.8615,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.35,1
10009.jpg,spaq,r5,,5.6583,R5=软门控+patch+para3 | bare 0.31/rich 0.35/multi 0.34,1
10010.jpg,spaq,r5,,2.625,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.32,1
10011.jpg,spaq,r5,,8.1208,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.35,1
10012.jpg,spaq,r5,,6.15,R5=软门控+patch+para3 | bare 0.31/rich 0.34/multi 0.34,1
10013.jpg,spaq,r5,,7.1737,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10014.jpg,spaq,r5,,6.9107,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10015.jpg,spaq,r5,,5.8402,R5=软门控+patch+para3 | bare 0.29/rich 0.38/multi 0.33,1
10016.jpg,spaq,r5,,5.2215,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10017.jpg,spaq,r5,,4.0469,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10018.jpg,spaq,r5,,6.9111,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10019.jpg,spaq,r5,,2.0798,R5=软门控+patch+para3 | bare 0.33/rich 0.35/multi 0.32,1
10020.jpg,spaq,r5,,8.2974,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.35,1
10021.jpg,spaq,r5,,3.1264,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.33,1
10022.jpg,spaq,r5,,6.1765,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10023.jpg,spaq,r5,,3.981,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.32,1
