img_id,dataset,route,score
10022844623.jpg,koniq,r1anchor,3.8
10029841663.jpg,koniq,r1anchor,4.1
10031298826.jpg,koniq,r1anchor,4.1
10059344614.jpg,koniq,r1anchor,4.1
10067457634.jpg,koniq,r1anchor,4.1
10068778516.jpg,koniq,r1anchor,4.1
10079711433.jpg,koniq,r1anchor,4.1
10133867305.jpg,koniq,r1anchor,3.8
10178183416.jpg,koniq,r1anchor,4.7
10187522803.jpg,koniq,r1anchor,4.7
10206674394.jpg,koniq,r1anchor,4.7
10211880874.jpg,koniq,r1anchor,3.2
10241895785.jpg,koniq,r1anchor,4.1
10265315316.jpg,koniq,r1anchor,3.8
10279904885.jpg,koniq,r1anchor,3.8
10283619534.jpg,koniq,r1anchor,4.1
10296038236.jpg,koniq,r1anchor,3.2
102995966.jpg,koniq,r1anchor,2.8
10330831494.jpg,koniq,r1anchor,2.8
10336689775.jpg,koniq,r1anchor,3.2
10346758803.jpg,koniq,r1anchor,3.8
10353620913.jpg,koniq,r1anchor,3.8
10375167904.jpg,koniq,r1anchor,3.2
10382843045.jpg,koniq,r1anchor,3.2
10397166423.jpg,koniq,r1anchor,4.5
10408474376.jpg,koniq,r1anchor,4.7
10422425365.jpg,koniq,r1anchor,4.1
10422776735.jpg,koniq,r1anchor,3.2
10430335945.jpg,koniq,r1anchor,3.2
10468540574.jpg,koniq,r1anchor,3.8
10471406506.jpg,koniq,r1anchor,3.2
10474002734.jpg,koniq,r1anchor,3.8
10475658035.jpg,koniq,r1anchor,4.7
10491358066.jpg,koniq,r1anchor,4.1
10520192995.jpg,koniq,r1anchor,3.8
10534454676.jpg,koniq,r1anchor,3.8
10539341593.jpg,koniq,r1anchor,3.2
10544945153.jpg,koniq,r1anchor,3.2
10574233584.jpg,koniq,r1anchor,3.2
10576676414.jpg,koniq,r1anchor,3.8
10581525775.jpg,koniq,r1anchor,3.8
10597114264.jpg,koniq,r1anchor,4.5
10609356094.jpg,koniq,r1anchor,3.2
10619909515.jpg,koniq,r1anchor,4.1
10620356404.jpg,koniq,r1anchor,4.1
106456452.jpg,koniq,r1anchor,2.8
10680715605.jpg,koniq,r1anchor,3.2
10680932454.jpg,koniq,r1anchor,3.8
10686332213.jpg,koniq,r1anchor,3.2
10694350076.jpg,koniq,r1anchor,4.1
10705911926.jpg,koniq,r1anchor,3.8
10706770686.jpg,koniq,r1anchor,4.1
10713772814.jpg,koniq,r1anchor,3.8
10740727595.jpg,koniq,r1anchor,3.2
10745415703.jpg,koniq,r1anchor,4.1
10745932825.jpg,koniq,r1anchor,3.8
10747724694.jpg,koniq,r1anchor,3.2
10762659033.jpg,koniq,r1anchor,2.8
10765812585.jpg,koniq,r1anchor,3.8
10775358296.jpg,koniq,r1anchor,2.3
10783395635.jpg,koniq,r1anchor,4.1
10784159775.jpg,koniq,r1anchor,4.1
10786271105.jpg,koniq,r1anchor,3.8
10798439785.jpg,koniq,r1anchor,4.1
10799367156.jpg,koniq,r1anchor,4.1
10799853136.jpg,koniq,r1anchor,3.2
10806677866.jpg,koniq,r1anchor,4.1
10819001424.jpg,koniq,r1anchor,2.3
10849117054.jpg,koniq,r1anchor,3.8
1084984228.jpg,koniq,r1anchor,2.8
10856434794.jpg,koniq,r1anchor,2.8
10872249945.jpg,koniq,r1anchor,4.7
10880314705.jpg,koniq,r1anchor,4.5
1089100444.jpg,koniq,r1anchor,4.7
10923819485.jpg,koniq,r1anchor,2.8
10927420963.jpg,koniq,r1anchor,3.8
10961758274.jpg,koniq,r1anchor,4.5
10981006796.jpg,koniq,r1anchor,2.1
11005410885.jpg,koniq,r1anchor,3.2
1100873520.jpg,koniq,r1anchor,2.8
11016485883.jpg,koniq,r1anchor,4.5
11031973684.jpg,koniq,r1anchor,3.2
11054955216.jpg,koniq,r1anchor,3.8
11078122366.jpg,koniq,r1anchor,3.8
11098121724.jpg,koniq,r1anchor,3.2
11111585533.jpg,koniq,r1anchor,4.7
11118140253.jpg,koniq,r1anchor,4.5
11143825565.jpg,koniq,r1anchor,4.5
11158314215.jpg,koniq,r1anchor,3.7
11159983896.jpg,koniq,r1anchor,4.7
11169904264.jpg,koniq,r1anchor,4.1
11209059333.jpg,koniq,r1anchor,3.2
11216436636.jpg,koniq,r1anchor,4.7
11229777185.jpg,koniq,r1anchor,4.1
11241096796.jpg,koniq,r1anchor,4.1
11242015725.jpg,koniq,r1anchor,3.8
11245781693.jpg,koniq,r1anchor,3.8
11250215644.jpg,koniq,r1anchor,3.2
11252383376.jpg,koniq,r1anchor,4.1
11252644224.jpg,koniq,r1anchor,3.2
11264048414.jpg,koniq,r1anchor,2.3
11270280904.jpg,koniq,r1anchor,4.1
11273190884.jpg,koniq,r1anchor,4.1
11287273183.jpg,koniq,r1anchor,4.5
11294894953.jpg,koniq,r1anchor,3.2
11310848503.jpg,koniq,r1anchor,3.8
11338371864.jpg,koniq,r1anchor,3.2
11356760053.jpg,koniq,r1anchor,4.7
11382799454.jpg,koniq,r1anchor,4.7
11396447303.jpg,koniq,r1anchor,3.2
11433593823.jpg,koniq,r1anchor,4.1
11436390143.jpg,koniq,r1anchor,4.7
11437542656.jpg,koniq,r1anchor,4.5
11446005074.jpg,koniq,r1anchor,3.8
11452299875.jpg,koniq,r1anchor,4.5
11456199025.jpg,koniq,r1anchor,2.3
11477250346.jpg,koniq,r1anchor,4.5
11490304024.jpg,koniq,r1anchor,4.5
11520125355.jpg,koniq,r1anchor,3.2
11522984926.jpg,koniq,r1anchor,4.1
11527524903.jpg,koniq,r1anchor,2.8
115290990.jpg,koniq,r1anchor,4.5
11559530473.jpg,koniq,r1anchor,3.2
1159028861.jpg,koniq,r1anchor,4.5
117172917.jpg,koniq,r1anchor,3.2
122760647.jpg,koniq,r1anchor,3.2
1240561841.jpg,koniq,r1anchor,3.8
1249337589.jpg,koniq,r1anchor,4.1
127977276.jpg,koniq,r1anchor,4.1
128781220.jpg,koniq,r1anchor,4.1
1296759644.jpg,koniq,r1anchor,2.8
1297819816.jpg,koniq,r1anchor,4.1
132921013.jpg,koniq,r1anchor,4.1
1332211559.jpg,koniq,r1anchor,2.1
13325497.jpg,koniq,r1anchor,3.2
1351917139.jpg,koniq,r1anchor,3.8
135352055.jpg,koniq,r1anchor,2.3
