img_id,dataset,route,score
10001.jpg,spaq,r1anchor,6.2
10002.jpg,spaq,r1anchor,6.8
10003.jpg,spaq,r1anchor,4.2
10004.jpg,spaq,r1anchor,2.8
10005.jpg,spaq,r1anchor,2.1
10006.jpg,spaq,r1anchor,5.2
10007.jpg,spaq,r1anchor,8.7
10008.jpg,spaq,r1anchor,6.8
10009.jpg,spaq,r1anchor,6.8
10010.jpg,spaq,r1anchor,2.8
10011.jpg,spaq,r1anchor,8.2
10012.jpg,spaq,r1anchor,6.8
10013.jpg,spaq,r1anchor,7.2
10014.jpg,spaq,r1anchor,7.2
10015.jpg,spaq,r1anchor,6.2
10016.jpg,spaq,r1anchor,5.8
10017.jpg,spaq,r1anchor,4.2
10018.jpg,spaq,r1anchor,7.2
10019.jpg,spaq,r1anchor,2.3
10020.jpg,spaq,r1anchor,8.7
10021.jpg,spaq,r1anchor,3.2
10022.jpg,spaq,r1anchor,6.8
10023.jpg,spaq,r1anchor,3.2
10024.jpg,spaq,r1anchor,1.2
10025.jpg,spaq,r1anchor,2.3
10026.jpg,spaq,r1anchor,2.1
10027.jpg,spaq,r1anchor,2.3
10028.jpg,spaq,r1anchor,6.8
10029.jpg,spaq,r1anchor,6.8
10030.jpg,spaq,r1anchor,2.1
10031.jpg,spaq,r1anchor,5.2
10032.jpg,spaq,r1anchor,1.2
10033.jpg,spaq,r1anchor,2.1
10034.jpg,spaq,r1anchor,8.7
10035.jpg,spaq,r1anchor,7.8
10036.jpg,spaq,r1anchor,7.2
10037.jpg,spaq,r1anchor,2.8
10038.jpg,spaq,r1anchor,2.3
10039.jpg,spaq,r1anchor,2.1
10040.jpg,spaq,r1anchor,2.1
10041.jpg,spaq,r1anchor,5.2
10042.jpg,spaq,r1anchor,7.2
10043.jpg,spaq,r1anchor,2.1
10044.jpg,spaq,r1anchor,2.8
10045.jpg,spaq,r1anchor,4.2
10046.jpg,spaq,r1anchor,2.1
10047.jpg,spaq,r1anchor,5.2
10048.jpg,spaq,r1anchor,3.2
10049.jpg,spaq,r1anchor,2.1
10050.jpg,spaq,r1anchor,2.1
10051.jpg,spaq,r1anchor,7.2
10052.jpg,spaq,r1anchor,7.8
10053.jpg,spaq,r1anchor,6.8
10054.jpg,spaq,r1anchor,5.2
10055.jpg,spaq,r1anchor,2.8
10056.jpg,spaq,r1anchor,5.8
10057.jpg,spaq,r1anchor,5.8
10058.jpg,spaq,r1anchor,1.2
10059.jpg,spaq,r1anchor,2.3
10060.jpg,spaq,r1anchor,2.1
10061.jpg,spaq,r1anchor,2.1
10062.jpg,spaq,r1anchor,2.3
10063.jpg,spaq,r1anchor,2.3
10064.jpg,spaq,r1anchor,7.2
10065.jpg,spaq,r1anchor,7.2
10066.jpg,spaq,r1anchor,5.8
10067.jpg,spaq,r1anchor,6.8
10068.jpg,spaq,r1anchor,6.8
10069.jpg,spaq,r1anchor,2.1
10070.jpg,spaq,r1anchor,8.2
10071.jpg,spaq,r1anchor,2.1
10072.jpg,spaq,r1anchor,5.8
10073.jpg,spaq,r1anchor,2.3
10074.jpg,spaq,r1anchor,2.1
10075.jpg,spaq,r1anchor,1.2
10076.jpg,spaq,r1anchor,4.2
10077.jpg,spaq,r1anchor,4.2
10078.jpg,spaq,r1anchor,2.3
10079.jpg,spaq,r1anchor,6.2
10080.jpg,spaq,r1anchor,7.2
10081.jpg,spaq,r1anchor,6.8
10082.jpg,spaq,r1anchor,3.2
10083.jpg,spaq,r1anchor,2.1
10084.jpg,spaq,r1anchor,2.3
10085.jpg,spaq,r1anchor,6.2
10086.jpg,spaq,r1anchor,2.3
10087.jpg,spaq,r1anchor,3.2
10088.jpg,spaq,r1anchor,2.3
10089.jpg,spaq,r1anchor,4.2
10090.jpg,spaq,r1anchor,7.2
10091.jpg,spaq,r1anchor,6.8
10092.jpg,spaq,r1anchor,7.2
10093.jpg,spaq,r1anchor,2.1
10094.jpg,spaq,r1anchor,4.2
10095.jpg,spaq,r1anchor,2.8
10096.jpg,spaq,r1anchor,6.8
10097.jpg,spaq,r1anchor,3.2
10098.jpg,spaq,r1anchor,2.8
10099.jpg,spaq,r1anchor,5.2
10100.jpg,spaq,r1anchor,5.2
10101.jpg,spaq,r1anchor,6.8
10102.jpg,spaq,r1anchor,5.8
10103.jpg,spaq,r1anchor,2.1
10104.jpg,spaq,r1anchor,2.1
10105.jpg,spaq,r1anchor,2.1
