img_id,dataset,route,score,reason,parse_tier
10001.jpg,spaq,r1b_8b,6.0,,1
10002.jpg,spaq,r1b_8b,6.0,,1
10003.jpg,spaq,r1b_8b,5.0,,1
10004.jpg,spaq,r1b_8b,2.0,,1
10005.jpg,spaq,r1b_8b,2.0,,1
10006.jpg,spaq,r1b_8b,5.0,,1
10007.jpg,spaq,r1b_8b,8.0,,1
10008.jpg,spaq,r1b_8b,6.0,,1
10009.jpg,spaq,r1b_8b,6.0,,1
10010.jpg,spaq,r1b_8b,3.0,,1
10011.jpg,spaq,r1b_8b,7.0,,1
10012.jpg,spaq,r1b_8b,5.0,,1
10013.jpg,spaq,r1b_8b,7.0,,1
10014.jpg,spaq,r1b_8b,6.0,,1
10015.jpg,spaq,r1b_8b,6.0,,1
10016.jpg,spaq,r1b_8b,6.0,,1
10017.jpg,spaq,r1b_8b,5.0,,1
10018.jpg,spaq,r1b_8b,7.0,,1
10019.jpg,spaq,r1b_8b,2.0,,1
10020.jpg,spaq,r1b_8b,7.0,,1
10021.jpg,spaq,r1b_8b,3.0,,1
10022.jpg,spaq,r1b_8b,7.0,,1
10023.jpg,spaq,r1b_8b,4.0,,1
10024.jpg,spaq,r1b_8b,2.0,,1
10025.jpg,spaq,r1b_8b,2.0,,1
10026.jpg,spaq,r1b_8b,2.0,,1
10027.jpg,spaq,r1b_8b,3.0,,1
10028.jpg,spaq,r1b_8b,6.0,,1
10029.jpg,spaq,r1b_8b,6.0,,1
10030.jpg,spaq,r1b_8b,2.0,,1
10031.jpg,spaq,r1b_8b,6.0,,1
10032.jpg,spaq,r1b_8b,2.0,,1
10033.jpg,spaq,r1b_8b,2.0,,1
10034.jpg,spaq,r1b_8b,8.0,,1
10035.jpg,spaq,r1b_8b,7.0,,1
10036.jpg,spaq,r1b_8b,6.0,,1
10037.jpg,spaq,r1b_8b,2.0,,1
10038.jpg,spaq,r1b_8b,2.0,,1
10039.jpg,spaq,r1b_8b,2.0,,1
10040.jpg,spaq,r1b_8b,2.0,,1
10041.jpg,spaq,r1b_8b,5.0,,1
10042.jpg,spaq,r1b_8b,7.0,,1
10043.jpg,spaq,r1b_8b,2.0,,1
10044.jpg,spaq,r1b_8b,3.0,,1
10045.jpg,spaq,r1b_8b,5.0,,1
10046.jpg,spaq,r1b_8b,3.0,,1
10047.jpg,spaq,r1b_8b,5.0,,1
10048.jpg,spaq,r1b_8b,3.0,,1
10049.jpg,spaq,r1b_8b,3.0,,1
10050.jpg,spaq,r1b_8b,2.0,,1
10051.jpg,spaq,r1b_8b,7.0,,1
10052.jpg,spaq,r1b_8b,6.0,,1
10053.jpg,spaq,r1b_8b,6.0,,1
10054.jpg,spaq,r1b_8b,6.0,,1
10055.jpg,spaq,r1b_8b,3.0,,1
10056.jpg,spaq,r1b_8b,6.0,,1
10057.jpg,spaq,r1b_8b,6.0,,1
