img_id,dataset,route,score,reason,parse_tier
10022844623.jpg,koniq,r6_8b,4.18,,1
10029841663.jpg,koniq,r6_8b,4.34,,1
10031298826.jpg,koniq,r6_8b,4.34,,1
10059344614.jpg,koniq,r6_8b,4.24,,1
10067457634.jpg,koniq,r6_8b,4.5,,1
10068778516.jpg,koniq,r6_8b,4.38,,1
10079711433.jpg,koniq,r6_8b,4.22,,1
10133867305.jpg,koniq,r6_8b,4.04,,1
10178183416.jpg,koniq,r6_8b,4.7,,1
10187522803.jpg,koniq,r6_8b,4.74,,1
10206674394.jpg,koniq,r6_8b,4.96,,1
10211880874.jpg,koniq,r6_8b,3.32,,1
10241895785.jpg,koniq,r6_8b,4.24,,1
10265315316.jpg,koniq,r6_8b,3.78,,1
10279904885.jpg,koniq,r6_8b,4.48,,1
10283619534.jpg,koniq,r6_8b,4.18,,1
10296038236.jpg,koniq,r6_8b,3.3,,1
102995966.jpg,koniq,r6_8b,1.88,,1
10330831494.jpg,koniq,r6_8b,2.86,,1
10336689775.jpg,koniq,r6_8b,3.46,,1
10346758803.jpg,koniq,r6_8b,3.5,,1
10353620913.jpg,koniq,r6_8b,4.04,,1
10375167904.jpg,koniq,r6_8b,3.98,,1
10382843045.jpg,koniq,r6_8b,3.16,,1
10397166423.jpg,koniq,r6_8b,4.82,,1
10408474376.jpg,koniq,r6_8b,4.64,,1
10422425365.jpg,koniq,r6_8b,4.68,,1
10422776735.jpg,koniq,r6_8b,3.48,,1
10430335945.jpg,koniq,r6_8b,3.26,,1
10468540574.jpg,koniq,r6_8b,3.58,,1
10471406506.jpg,koniq,r6_8b,4.18,,1
10474002734.jpg,koniq,r6_8b,4.34,,1
10475658035.jpg,koniq,r6_8b,4.92,,1
10491358066.jpg,koniq,r6_8b,4.4,,1
10520192995.jpg,koniq,r6_8b,4.18,,1
10534454676.jpg,koniq,r6_8b,4.24,,1
10539341593.jpg,koniq,r6_8b,4.38,,1
10544945153.jpg,koniq,r6_8b,3.32,,1
10574233584.jpg,koniq,r6_8b,3.92,,1
10576676414.jpg,koniq,r6_8b,4.32,,1
10581525775.jpg,koniq,r6_8b,4.04,,1
10597114264.jpg,koniq,r6_8b,4.5,,1
