img_id,dataset,route,score,reason,parse_tier
10022844623.jpg,koniq,r6_unified_koniq,3.7813,,1
10029841663.jpg,koniq,r6_unified_koniq,4.2323,,1
10031298826.jpg,koniq,r6_unified_koniq,3.744,,1
10059344614.jpg,koniq,r6_unified_koniq,4.2369,,1
10067457634.jpg,koniq,r6_unified_koniq,4.3828,,1
10068778516.jpg,koniq,r6_unified_koniq,3.9692,,1
10079711433.jpg,koniq,r6_unified_koniq,4.2045,,1
10133867305.jpg,koniq,r6_unified_koniq,3.7969,,1
10178183416.jpg,koniq,r6_unified_koniq,4.2546,,1
10187522803.jpg,koniq,r6_unified_koniq,4.48,,1
10206674394.jpg,koniq,r6_unified_koniq,4.48,,1
10211880874.jpg,koniq,r6_unified_koniq,2.5502,,1
10241895785.jpg,koniq,r6_unified_koniq,4.205,,1
10265315316.jpg,koniq,r6_unified_koniq,3.8443,,1
10279904885.jpg,koniq,r6_unified_koniq,3.4745,,1
10283619534.jpg,koniq,r6_unified_koniq,3.7709,,1
10296038236.jpg,koniq,r6_unified_koniq,3.1078,,1
102995966.jpg,koniq,r6_unified_koniq,2.08,,1
10330831494.jpg,koniq,r6_unified_koniq,2.6309,,1
10336689775.jpg,koniq,r6_unified_koniq,3.3941,,1
10346758803.jpg,koniq,r6_unified_koniq,3.9681,,1
10353620913.jpg,koniq,r6_unified_koniq,3.6483,,1
10375167904.jpg,koniq,r6_unified_koniq,3.3934,,1
10382843045.jpg,koniq,r6_unified_koniq,3.2427,,1
10397166423.jpg,koniq,r6_unified_koniq,4.3915,,1
10408474376.jpg,koniq,r6_unified_koniq,4.48,,1
10422425365.jpg,koniq,r6_unified_koniq,3.7963,,1
10422776735.jpg,koniq,r6_unified_koniq,3.4507,,1
10430335945.jpg,koniq,r6_unified_koniq,3.3972,,1
10468540574.jpg,koniq,r6_unified_koniq,3.6779,,1
10471406506.jpg,koniq,r6_unified_koniq,3.156,,1
10474002734.jpg,koniq,r6_unified_koniq,3.9234,,1
10475658035.jpg,koniq,r6_unified_koniq,4.9539,,1
10491358066.jpg,koniq,r6_unified_koniq,4.2099,,1
10520192995.jpg,koniq,r6_unified_koniq,3.2118,,1
10534454676.jpg,koniq,r6_unified_koniq,4.2733,,1
10539341593.jpg,koniq,r6_unified_koniq,3.8553,,1
10544945153.jpg,koniq,r6_unified_koniq,3.1242,,1
10574233584.jpg,koniq,r6_unified_koniq,2.967,,1
10576676414.jpg,koniq,r6_unified_koniq,3.5504,,1
10581525775.jpg,koniq,r6_unified_koniq,3.4192,,1
10597114264.jpg,koniq,r6_unified_koniq,4.3798,,1
10609356094.jpg,koniq,r6_unified_koniq,3.4557,,1
10619909515.jpg,koniq,r6_unified_koniq,4.2157,,1
10620356404.jpg,koniq,r6_unified_koniq,4.2178,,1
106456452.jpg,koniq,r6_unified_koniq,1.88,,1
10680715605.jpg,koniq,r6_unified_koniq,2.549,,1
10680932454.jpg,koniq,r6_unified_koniq,3.9233,,1
10686332213.jpg,koniq,r6_unified_koniq,3.0616,,1
10694350076.jpg,koniq,r6_unified_koniq,4.1406,,1
10705911926.jpg,koniq,r6_unified_koniq,3.6557,,1
10706770686.jpg,koniq,r6_unified_koniq,4.2406,,1
10713772814.jpg,koniq,r6_unified_koniq,3.4356,,1
10740727595.jpg,koniq,r6_unified_koniq,3.5802,,1
10745415703.jpg,koniq,r6_unified_koniq,3.8593,,1
10745932825.jpg,koniq,r6_unified_koniq,3.7018,,1
10747724694.jpg,koniq,r6_unified_koniq,3.1611,,1
10762659033.jpg,koniq,r6_unified_koniq,2.5339,,1
10765812585.jpg,koniq,r6_unified_koniq,3.5141,,1
10775358296.jpg,koniq,r6_unified_koniq,2.0311,,1
10783395635.jpg,koniq,r6_unified_koniq,4.2327,,1
10784159775.jpg,koniq,r6_unified_koniq,4.2388,,1
10786271105.jpg,koniq,r6_unified_koniq,3.8241,,1
10798439785.jpg,koniq,r6_unified_koniq,3.7172,,1
10799367156.jpg,koniq,r6_unified_koniq,4.48,,1
10799853136.jpg,koniq,r6_unified_koniq,3.4145,,1
10806677866.jpg,koniq,r6_unified_koniq,4.1676,,1
10819001424.jpg,koniq,r6_unified_koniq,2.0597,,1
10849117054.jpg,koniq,r6_unified_koniq,3.8642,,1
1084984228.jpg,koniq,r6_unified_koniq,2.4494,,1
10856434794.jpg,koniq,r6_unified_koniq,2.9618,,1
10872249945.jpg,koniq,r6_unified_koniq,4.88,,1
10880314705.jpg,koniq,r6_unified_koniq,4.2372,,1
1089100444.jpg,koniq,r6_unified_koniq,4.48,,1
10923819485.jpg,koniq,r6_unified_koniq,2.6137,,1
10927420963.jpg,koniq,r6_unified_koniq,4.2275,,1
10961758274.jpg,koniq,r6_unified_koniq,4.48,,1
10981006796.jpg,koniq,r6_unified_koniq,2.0888,,1
11005410885.jpg,koniq,r6_unified_koniq,3.3443,,1
1100873520.jpg,koniq,r6_unified_koniq,3.3016,,1
11016485883.jpg,koniq,r6_unified_koniq,4.3971,,1
11031973684.jpg,koniq,r6_unified_koniq,3.5459,,1
11054955216.jpg,koniq,r6_unified_koniq,3.5224,,1
11078122366.jpg,koniq,r6_unified_koniq,3.4643,,1
11098121724.jpg,koniq,r6_unified_koniq,3.8076,,1
11111585533.jpg,koniq,r6_unified_koniq,4.3933,,1
11118140253.jpg,koniq,r6_unified_koniq,4.3986,,1
11143825565.jpg,koniq,r6_unified_koniq,4.3872,,1
11158314215.jpg,koniq,r6_unified_koniq,3.2841,,1
11159983896.jpg,koniq,r6_unified_koniq,4.2196,,1
11169904264.jpg,koniq,r6_unified_koniq,3.6963,,1
11209059333.jpg,koniq,r6_unified_koniq,2.9705,,1
11216436636.jpg,koniq,r6_unified_koniq,4.095,,1
11229777185.jpg,koniq,r6_unified_koniq,3.9837,,1
11241096796.jpg,koniq,r6_unified_koniq,4.2376,,1
11242015725.jpg,koniq,r6_unified_koniq,3.6558,,1
11245781693.jpg,koniq,r6_unified_koniq,3.6371,,1
11250215644.jpg,koniq,r6_unified_koniq,3.8096,,1
11252383376.jpg,koniq,r6_unified_koniq,4.2274,,1
11252644224.jpg,koniq,r6_unified_koniq,3.416,,1
11264048414.jpg,koniq,r6_unified_koniq,1.88,,1
11270280904.jpg,koniq,r6_unified_koniq,3.1467,,1
11273190884.jpg,koniq,r6_unified_koniq,4.2821,,1
11287273183.jpg,koniq,r6_unified_koniq,3.9539,,1
11294894953.jpg,koniq,r6_unified_koniq,3.5501,,1
11310848503.jpg,koniq,r6_unified_koniq,3.888,,1
11338371864.jpg,koniq,r6_unified_koniq,3.4926,,1
11356760053.jpg,koniq,r6_unified_koniq,4.8397,,1
11382799454.jpg,koniq,r6_unified_koniq,4.48,,1
11396447303.jpg,koniq,r6_unified_koniq,3.5025,,1
11433593823.jpg,koniq,r6_unified_koniq,4.1777,,1
11436390143.jpg,koniq,r6_unified_koniq,4.2583,,1
11437542656.jpg,koniq,r6_unified_koniq,4.3391,,1
11446005074.jpg,koniq,r6_unified_koniq,3.6409,,1
11452299875.jpg,koniq,r6_unified_koniq,4.2894,,1
11456199025.jpg,koniq,r6_unified_koniq,2.0409,,1
11477250346.jpg,koniq,r6_unified_koniq,4.3903,,1
11490304024.jpg,koniq,r6_unified_koniq,4.2096,,1
11520125355.jpg,koniq,r6_unified_koniq,3.4088,,1
11522984926.jpg,koniq,r6_unified_koniq,4.1682,,1
11527524903.jpg,koniq,r6_unified_koniq,2.4699,,1
115290990.jpg,koniq,r6_unified_koniq,4.4011,,1
11559530473.jpg,koniq,r6_unified_koniq,3.4483,,1
1159028861.jpg,koniq,r6_unified_koniq,4.2464,,1
117172917.jpg,koniq,r6_unified_koniq,3.4212,,1
122760647.jpg,koniq,r6_unified_koniq,3.1911,,1
1240561841.jpg,koniq,r6_unified_koniq,3.3502,,1
1249337589.jpg,koniq,r6_unified_koniq,4.3667,,1
127977276.jpg,koniq,r6_unified_koniq,4.2524,,1
128781220.jpg,koniq,r6_unified_koniq,3.4592,,1
1296759644.jpg,koniq,r6_unified_koniq,2.0722,,1
1297819816.jpg,koniq,r6_unified_koniq,4.2045,,1
132921013.jpg,koniq,r6_unified_koniq,4.3164,,1
1332211559.jpg,koniq,r6_unified_koniq,1.88,,1
