img_id,dataset,route,score,reason,parse_tier
10022844623.jpg,koniq,r6offanchor_unified_koniq,4.034,α=0.8·fus(4.105)+0.2·bare(3.750),1
10029841663.jpg,koniq,r6offanchor_unified_koniq,4.4452,α=0.8·fus(4.556)+0.2·bare(4.000),1
10031298826.jpg,koniq,r6offanchor_unified_koniq,3.887,α=0.8·fus(3.859)+0.2·bare(4.000),1
10059344614.jpg,koniq,r6offanchor_unified_koniq,4.4537,α=0.8·fus(4.567)+0.2·bare(4.000),1
10067457634.jpg,koniq,r6offanchor_unified_koniq,4.4362,α=0.8·fus(4.545)+0.2·bare(4.000),1
10068778516.jpg,koniq,r6offanchor_unified_koniq,4.16,α=0.8·fus(4.200)+0.2·bare(4.000),1
10079711433.jpg,koniq,r6offanchor_unified_koniq,4.3658,α=0.8·fus(4.457)+0.2·bare(4.000),1
10133867305.jpg,koniq,r6offanchor_unified_koniq,3.9535,α=0.8·fus(3.942)+0.2·bare(4.000),1
10178183416.jpg,koniq,r6offanchor_unified_koniq,4.4995,α=0.8·fus(4.624)+0.2·bare(4.000),1
10187522803.jpg,koniq,r6offanchor_unified_koniq,4.8,α=0.8·fus(5.000)+0.2·bare(4.000),1
10206674394.jpg,koniq,r6offanchor_unified_koniq,4.6705,α=0.8·fus(4.838)+0.2·bare(4.000),1
10211880874.jpg,koniq,r6offanchor_unified_koniq,3.3011,α=0.8·fus(3.376)+0.2·bare(3.000),1
10241895785.jpg,koniq,r6offanchor_unified_koniq,3.9109,α=0.8·fus(3.889)+0.2·bare(4.000),1
10265315316.jpg,koniq,r6offanchor_unified_koniq,4.0878,α=0.8·fus(4.172)+0.2·bare(3.750),1
10279904885.jpg,koniq,r6offanchor_unified_koniq,3.7062,α=0.8·fus(3.695)+0.2·bare(3.750),1
10283619534.jpg,koniq,r6offanchor_unified_koniq,3.8243,α=0.8·fus(3.780)+0.2·bare(4.000),1
10296038236.jpg,koniq,r6offanchor_unified_koniq,3.16,α=0.8·fus(3.200)+0.2·bare(3.000),1
102995966.jpg,koniq,r6offanchor_unified_koniq,2.5513,α=0.8·fus(2.564)+0.2·bare(2.500),1
10330831494.jpg,koniq,r6offanchor_unified_koniq,3.01,α=0.8·fus(3.200)+0.2·bare(2.250),1
10336689775.jpg,koniq,r6offanchor_unified_koniq,3.7723,α=0.8·fus(3.965)+0.2·bare(3.000),1
10346758803.jpg,koniq,r6offanchor_unified_koniq,4.1688,α=0.8·fus(4.211)+0.2·bare(4.000),1
10353620913.jpg,koniq,r6offanchor_unified_koniq,3.8418,α=0.8·fus(3.865)+0.2·bare(3.750),1
10375167904.jpg,koniq,r6offanchor_unified_koniq,3.7714,α=0.8·fus(3.964)+0.2·bare(3.000),1
10382843045.jpg,koniq,r6offanchor_unified_koniq,3.6431,α=0.8·fus(3.804)+0.2·bare(3.000),1
10397166423.jpg,koniq,r6offanchor_unified_koniq,4.6541,α=0.8·fus(4.818)+0.2·bare(4.000),1
10408474376.jpg,koniq,r6offanchor_unified_koniq,4.8,α=0.8·fus(5.000)+0.2·bare(4.000),1
10422425365.jpg,koniq,r6offanchor_unified_koniq,3.843,α=0.8·fus(3.804)+0.2·bare(4.000),1
10422776735.jpg,koniq,r6offanchor_unified_koniq,3.8449,α=0.8·fus(4.056)+0.2·bare(3.000),1
10430335945.jpg,koniq,r6offanchor_unified_koniq,3.7696,α=0.8·fus(3.962)+0.2·bare(3.000),1
10468540574.jpg,koniq,r6offanchor_unified_koniq,3.9557,α=0.8·fus(4.070)+0.2·bare(3.500),1
10471406506.jpg,koniq,r6offanchor_unified_koniq,3.4197,α=0.8·fus(3.525)+0.2·bare(3.000),1
10474002734.jpg,koniq,r6offanchor_unified_koniq,4.3201,α=0.8·fus(4.588)+0.2·bare(3.250),1
10475658035.jpg,koniq,r6offanchor_unified_koniq,5.0,α=0.8·fus(5.000)+0.2·bare(5.000),1
10491358066.jpg,koniq,r6offanchor_unified_koniq,4.4125,α=0.8·fus(4.516)+0.2·bare(4.000),1
10520192995.jpg,koniq,r6offanchor_unified_koniq,3.5806,α=0.8·fus(3.726)+0.2·bare(3.000),1
10534454676.jpg,koniq,r6offanchor_unified_koniq,4.5069,α=0.8·fus(4.634)+0.2·bare(4.000),1
10539341593.jpg,koniq,r6offanchor_unified_koniq,4.2797,α=0.8·fus(4.600)+0.2·bare(3.000),1
10544945153.jpg,koniq,r6offanchor_unified_koniq,3.4056,α=0.8·fus(3.507)+0.2·bare(3.000),1
10574233584.jpg,koniq,r6offanchor_unified_koniq,3.16,α=0.8·fus(3.200)+0.2·bare(3.000),1
10576676414.jpg,koniq,r6offanchor_unified_koniq,3.8946,α=0.8·fus(4.056)+0.2·bare(3.250),1
10581525775.jpg,koniq,r6offanchor_unified_koniq,3.781,α=0.8·fus(3.976)+0.2·bare(3.000),1
10597114264.jpg,koniq,r6offanchor_unified_koniq,4.6353,α=0.8·fus(4.794)+0.2·bare(4.000),1
10609356094.jpg,koniq,r6offanchor_unified_koniq,3.8513,α=0.8·fus(4.064)+0.2·bare(3.000),1
10619909515.jpg,koniq,r6offanchor_unified_koniq,4.16,α=0.8·fus(4.200)+0.2·bare(4.000),1
10620356404.jpg,koniq,r6offanchor_unified_koniq,4.4229,α=0.8·fus(4.529)+0.2·bare(4.000),1
106456452.jpg,koniq,r6offanchor_unified_koniq,2.586,α=0.8·fus(2.732)+0.2·bare(2.000),1
10680715605.jpg,koniq,r6offanchor_unified_koniq,2.6524,α=0.8·fus(2.566)+0.2·bare(3.000),1
10680932454.jpg,koniq,r6offanchor_unified_koniq,4.1121,α=0.8·fus(4.140)+0.2·bare(4.000),1
10686332213.jpg,koniq,r6offanchor_unified_koniq,3.3894,α=0.8·fus(3.487)+0.2·bare(3.000),1
10694350076.jpg,koniq,r6offanchor_unified_koniq,4.4077,α=0.8·fus(4.572)+0.2·bare(3.750),1
10705911926.jpg,koniq,r6offanchor_unified_koniq,4.01,α=0.8·fus(4.200)+0.2·bare(3.250),1
10706770686.jpg,koniq,r6offanchor_unified_koniq,4.16,α=0.8·fus(4.200)+0.2·bare(4.000),1
10713772814.jpg,koniq,r6offanchor_unified_koniq,3.8257,α=0.8·fus(4.032)+0.2·bare(3.000),1
10740727595.jpg,koniq,r6offanchor_unified_koniq,3.9075,α=0.8·fus(4.072)+0.2·bare(3.250),1
10745415703.jpg,koniq,r6offanchor_unified_koniq,3.8876,α=0.8·fus(3.860)+0.2·bare(4.000),1
10745932825.jpg,koniq,r6offanchor_unified_koniq,3.9725,α=0.8·fus(4.028)+0.2·bare(3.750),1
10747724694.jpg,koniq,r6offanchor_unified_koniq,3.4548,α=0.8·fus(3.568)+0.2·bare(3.000),1
10762659033.jpg,koniq,r6offanchor_unified_koniq,2.6571,α=0.8·fus(2.571)+0.2·bare(3.000),1
10765812585.jpg,koniq,r6offanchor_unified_koniq,3.7088,α=0.8·fus(3.699)+0.2·bare(3.750),1
10775358296.jpg,koniq,r6offanchor_unified_koniq,2.2815,α=0.8·fus(2.352)+0.2·bare(2.000),1
10783395635.jpg,koniq,r6offanchor_unified_koniq,4.4457,α=0.8·fus(4.557)+0.2·bare(4.000),1
10784159775.jpg,koniq,r6offanchor_unified_koniq,4.4562,α=0.8·fus(4.570)+0.2·bare(4.000),1
10786271105.jpg,koniq,r6offanchor_unified_koniq,4.2329,α=0.8·fus(4.541)+0.2·bare(3.000),1
10798439785.jpg,koniq,r6offanchor_unified_koniq,3.8525,α=0.8·fus(3.816)+0.2·bare(4.000),1
10799367156.jpg,koniq,r6offanchor_unified_koniq,4.5051,α=0.8·fus(4.631)+0.2·bare(4.000),1
10799853136.jpg,koniq,r6offanchor_unified_koniq,3.5897,α=0.8·fus(3.675)+0.2·bare(3.250),1
10806677866.jpg,koniq,r6offanchor_unified_koniq,4.3456,α=0.8·fus(4.432)+0.2·bare(4.000),1
10819001424.jpg,koniq,r6offanchor_unified_koniq,2.333,α=0.8·fus(2.416)+0.2·bare(2.000),1
10849117054.jpg,koniq,r6offanchor_unified_koniq,3.9255,α=0.8·fus(3.907)+0.2·bare(4.000),1
1084984228.jpg,koniq,r6offanchor_unified_koniq,3.2905,α=0.8·fus(3.363)+0.2·bare(3.000),1
10856434794.jpg,koniq,r6offanchor_unified_koniq,3.3864,α=0.8·fus(3.608)+0.2·bare(2.500),1
10872249945.jpg,koniq,r6offanchor_unified_koniq,4.8294,α=0.8·fus(4.787)+0.2·bare(5.000),1
10880314705.jpg,koniq,r6offanchor_unified_koniq,4.4149,α=0.8·fus(4.519)+0.2·bare(4.000),1
1089100444.jpg,koniq,r6offanchor_unified_koniq,4.8,α=0.8·fus(5.000)+0.2·bare(4.000),1
10923819485.jpg,koniq,r6offanchor_unified_koniq,3.16,α=0.8·fus(3.200)+0.2·bare(3.000),1
10927420963.jpg,koniq,r6offanchor_unified_koniq,4.4369,α=0.8·fus(4.546)+0.2·bare(4.000),1
10961758274.jpg,koniq,r6offanchor_unified_koniq,4.8,α=0.8·fus(5.000)+0.2·bare(4.000),1
10981006796.jpg,koniq,r6offanchor_unified_koniq,2.3536,α=0.8·fus(2.442)+0.2·bare(2.000),1
11005410885.jpg,koniq,r6offanchor_unified_koniq,3.6991,α=0.8·fus(3.874)+0.2·bare(3.000),1
1100873520.jpg,koniq,r6offanchor_unified_koniq,3.6883,α=0.8·fus(3.860)+0.2·bare(3.000),1
11016485883.jpg,koniq,r6offanchor_unified_koniq,4.6632,α=0.8·fus(4.829)+0.2·bare(4.000),1
11031973684.jpg,koniq,r6offanchor_unified_koniq,3.7827,α=0.8·fus(3.978)+0.2·bare(3.000),1
11054955216.jpg,koniq,r6offanchor_unified_koniq,3.7506,α=0.8·fus(3.751)+0.2·bare(3.750),1
11078122366.jpg,koniq,r6offanchor_unified_koniq,3.7026,α=0.8·fus(3.753)+0.2·bare(3.500),1
11098121724.jpg,koniq,r6offanchor_unified_koniq,3.8178,α=0.8·fus(4.022)+0.2·bare(3.000),1
11111585533.jpg,koniq,r6offanchor_unified_koniq,4.4542,α=0.8·fus(4.568)+0.2·bare(4.000),1
11118140253.jpg,koniq,r6offanchor_unified_koniq,4.6656,α=0.8·fus(4.832)+0.2·bare(4.000),1
